哪个城市的旗帜带有白色紫荆花图案	         城市的旗帜图案什么样
哪个城市的铁路干线包括京沪线、陇海线	     城市的铁路干线是哪些
京沪线、陇海线是哪个城市的铁路干线	         城市的铁路干线是哪些
哪个城市的时区是东八区	                 城市的时区是什么
哪个城市处在东八区	                     城市处在哪个时区

哪个国家的代表动物是袋鼠	                 国家的代表动物有什么
袋鼠是哪个国家的标志性动物	             国家的标志性动物有什么
哪个国家的传统服装是和服	                 国家的传统服装是什么
哪个国家的人传统上穿和服	                 国家人传统上穿什么
哪个国家又被称为欧洲小虎	                 国家又被称为什么
欧洲小虎是哪个国家的别称	                 国家的别名是什么
哪个国家又称为欧洲小虎	                 国家又被称为什么
哪个国家的别名是欧洲小虎	                 国家的别名是什么
哪个国家的主要农场品是小麦	             国家的主要农场品是什么
哪个国家的主要粮食作物是水稻和小麦	         国家主要粮食作物是什么


哪些河流从东流向西	                     河流的流向
哪个河流的形状像几字	                 河流的形状像什么
那条河流的地位是印度第一大河	             河流的地位是什么
密执安湖是哪个河流的别名	                 河流的别名
哪个河流的别名是密执安湖  	             河流的别名是什么
